player,nationality,position,value,position2,foot,league,games,games_starts,minutes,goals,assists,xg,npxg,xa,minutes_90s,shots_total,shots_on_target,passes_completed,passes,passes_total_distance,passes_completed_short,passes_short,passes_completed_medium,passes_medium,assisted_shots,passes_into_final_third,passes_into_penalty_area,progressive_passes,passes_live,through_balls,passes_pressure,passes_ground,passes_right_foot,passes_offsides,passes_intercepted,passes_blocked,sca,sca_passes_live,sca_dribbles,sca_shots,sca_fouled,gca,gca_passes_live,gca_dribbles,gca_fouled,tackles_att_3rd,pressure_regains,pressures_att_3rd,touches,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,miscontrols,dispossessed,fouled,W,GF,GDiff,Pts,Pts/G,xG,xGDiff,xGDiff/90,CL,bin
Sergio Escudero,ESP,DF,7500000.0,Defender - Left-Back,left,La Liga,27.0,26.0,2333.0,0.0,2.0,1.3,1.3,1.1,25.9,20.0,4.0,1224.0,1590.0,21087.0,597.0,696.0,507.0,639.0,16.0,100.0,19.0,128.0,1340.0,0.0,255.0,965.0,133.0,11.0,30.0,42.0,42.0,30.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,4.0,100.0,55.0,1850.0,968.0,469.0,38.0,1606.0,26.0,33.0,26.0,2.0,1169.0,6071.0,3349.0,1128.0,1047.0,20.0,23.0,39.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,3
Carlos Fernández,ESP,FW,1000000.0,attack - Centre-Forward,left,La Liga,2.0,2.0,135.0,1.0,0.0,0.7,0.7,0.1,1.5,6.0,2.0,26.0,35.0,401.0,13.0,19.0,11.0,11.0,2.0,2.0,0.0,1.0,33.0,0.0,11.0,24.0,9.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,46.0,17.0,28.0,8.0,44.0,0.0,0.0,0.0,0.0,26.0,72.0,37.0,54.0,34.0,2.0,0.0,1.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,0
Ganso,BRA,MF,2000000.0,midfield - Attacking Midfield,left,La Liga,8.0,7.0,515.0,2.0,1.0,1.1,1.1,0.7,5.7,7.0,3.0,267.0,327.0,4210.0,151.0,173.0,96.0,110.0,8.0,30.0,5.0,33.0,310.0,1.0,54.0,273.0,53.0,1.0,9.0,9.0,17.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,35.0,33.0,381.0,231.0,116.0,12.0,368.0,4.0,8.0,5.0,2.0,283.0,1234.0,505.0,335.0,277.0,8.0,6.0,12.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,1
Johannes Geis,GER,"DF,MF",5000000.0,midfield - Defensive Midfield,right,La Liga,14.0,7.0,680.0,0.0,1.0,0.2,0.2,0.4,7.6,6.0,2.0,315.0,381.0,6675.0,111.0,123.0,148.0,162.0,4.0,36.0,2.0,31.0,364.0,0.0,54.0,254.0,296.0,2.0,2.0,1.0,15.0,12.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,24.0,6.0,446.0,241.0,48.0,1.0,427.0,0.0,0.0,0.0,0.0,303.0,1362.0,661.0,292.0,281.0,2.0,1.0,2.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
Borja Lasso,ESP,MF,1000000.0,midfield - Attacking Midfield,right,La Liga,1.0,1.0,53.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,25.0,35.0,450.0,11.0,16.0,11.0,13.0,1.0,3.0,1.0,3.0,35.0,1.0,9.0,31.0,21.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,40.0,32.0,9.0,0.0,40.0,0.0,0.0,0.0,0.0,29.0,185.0,62.0,33.0,29.0,0.0,1.0,0.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,0
Miguel Layún,MEX,DF,5000000.0,midfield - Right Midfield,right,La Liga,16.0,11.0,1187.0,2.0,0.0,1.3,1.3,1.8,13.2,22.0,5.0,483.0,651.0,9294.0,204.0,240.0,209.0,274.0,11.0,36.0,14.0,47.0,547.0,1.0,92.0,383.0,432.0,1.0,14.0,23.0,24.0,17.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,47.0,18.0,795.0,320.0,281.0,19.0,689.0,9.0,11.0,11.0,0.0,482.0,2508.0,1379.0,480.0,445.0,11.0,7.0,9.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
Andrea Barzagli,ITA,DF,1000000.0,Defender - Centre-Back,right,Serie A,25.0,14.0,1447.0,0.0,1.0,0.0,0.0,0.4,16.1,1.0,0.0,1164.0,1264.0,25441.0,337.0,359.0,593.0,629.0,4.0,89.0,4.0,64.0,1208.0,0.0,76.0,943.0,1098.0,1.0,5.0,8.0,11.0,7.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,44.0,7.0,1388.0,854.0,79.0,1.0,1333.0,3.0,4.0,3.0,0.0,1006.0,4026.0,1919.0,1040.0,1031.0,3.0,5.0,12.0,30.0,86.0,62.0,95.0,2.5,59.7,30.9,0.81,1.0,0
Alessandro Deiola,ITA,MF,1300000.0,midfield - Central Midfield,right,Serie A,13.0,4.0,449.0,0.0,0.0,0.7,0.7,0.5,5.0,10.0,2.0,104.0,148.0,1641.0,59.0,74.0,28.0,42.0,2.0,8.0,3.0,14.0,143.0,0.0,29.0,86.0,119.0,1.0,6.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,20.0,214.0,96.0,74.0,7.0,209.0,4.0,7.0,5.0,0.0,134.0,538.0,228.0,160.0,122.0,8.0,8.0,3.0,11.0,33.0,-28.0,39.0,1.03,40.0,-18.7,-0.49,0.0,1
Walter Montoya,ARG,FW,4000000.0,attack - Right Winger,right,La Liga,1.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,17.0,26.0,282.0,10.0,12.0,5.0,9.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,15.0,17.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,38.0,17.0,16.0,2.0,37.0,1.0,1.0,1.0,0.0,32.0,173.0,89.0,41.0,29.0,4.0,1.0,2.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
Luis Muriel,COL,FW,12000000.0,attack - Centre-Forward,right,La Liga,29.0,17.0,1610.0,7.0,2.0,7.4,7.4,2.2,17.9,58.0,22.0,317.0,439.0,4952.0,166.0,219.0,128.0,164.0,18.0,29.0,16.0,31.0,407.0,2.0,85.0,314.0,320.0,2.0,14.0,22.0,41.0,29.0,5.0,3.0,1.0,4.0,2.0,1.0,0.0,2.0,69.0,159.0,644.0,283.0,371.0,112.0,609.0,33.0,53.0,37.0,2.0,498.0,3695.0,2365.0,792.0,474.0,33.0,37.0,14.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,3
Jesús Navas,ESP,"FW,DF",5000000.0,Defender - Right-Back,right,La Liga,26.0,20.0,1765.0,1.0,1.0,1.4,1.4,3.5,19.6,20.0,6.0,673.0,954.0,11937.0,329.0,425.0,262.0,360.0,32.0,41.0,47.0,92.0,891.0,1.0,178.0,621.0,757.0,11.0,14.0,68.0,62.0,55.0,2.0,3.0,1.0,3.0,3.0,0.0,0.0,6.0,86.0,64.0,1125.0,460.0,556.0,62.0,1064.0,18.0,26.0,20.0,0.0,835.0,6103.0,3877.0,899.0,755.0,15.0,18.0,24.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
Nolito,ESP,"FW,MF",5000000.0,attack - Left Winger,right,La Liga,30.0,17.0,1599.0,4.0,5.0,4.6,3.9,3.9,17.8,37.0,18.0,462.0,654.0,7969.0,234.0,302.0,181.0,242.0,33.0,34.0,38.0,87.0,627.0,2.0,110.0,454.0,536.0,9.0,19.0,44.0,63.0,51.0,4.0,2.0,2.0,13.0,10.0,1.0,1.0,7.0,88.0,84.0,899.0,354.0,458.0,111.0,876.0,38.0,61.0,44.0,4.0,695.0,3766.0,2204.0,877.0,624.0,38.0,40.0,25.0,17.0,49.0,-9.0,58.0,1.53,56.5,1.3,0.03,0.0,2
